Text,Source,Date_Time,User_ID,Location,Sentiment,Confidence_Score
I love this product!,Twitter,15-06-2023 09:23,@user123,New York,Positive,0.85
The service was terrible.,Yelp Reviews,15-06-2023 11:45,user456,Los Angeles,Negative,0.65
This movie is amazing!,IMDb,15-06-2023 14:10,moviefan789,London,Positive,0.92
I'm so disappointed with their customer support.,Online Forum,15-06-2023 17:35,forumuser1,Toronto,Negative,0.78
Just had the best meal of my life!,TripAdvisor,16-06-2023 08:50,foodie22,Paris,Positive,0.88
The quality of this product is subpar.,Amazon Reviews,16-06-2023 10:15,shopper123,San Francisco,Negative,0.72
I can't stop listening to this song. It's incredible!,Spotify,16-06-2023 13:40,musiclover456,Berlin,Positive,0.91
Their website is so user-friendly. Love it!,Website Testimonial,16-06-2023 16:05,testimonialuser1,Sydney,Positive,0.87
I loved the movie! It was fantastic!,IMDb,02-07-2023 09:12,user123,New York,Positive,0.92
The customer service was terrible.,Yelp Reviews,02-07-2023 10:45,user456,Los Angeles,Negative,0.65
This book made me feel inspired. Highly recommended!,Goodreads,02-07-2023 12:34,bookworm789,London,Positive,0.88
I'm extremely disappointed with their product quality.,Online Store,02-07-2023 15:21,shopper789,San Francisco,Negative,0.72
Just had the most amazing vacation! I can't wait to go back.,TripAdvisor,02-07-2023 18:01,travelenthusiast1,Sydney,Positive,0.93
The food at this restaurant was awful. Never going back again!,Zomato,02-07-2023 20:45,foodlover123,Mumbai,Negative,0.55
I can't stop listening to this song. It's my new favorite!,Spotify,03-07-2023 09:17,musiclover789,Berlin,Positive,0.91
Their website is so confusing and poorly designed.,Website Review,03-07-2023 11:59,user789,Toronto,Negative,0.68
I had an incredible experience at the theme park. So much fun!,Trip Report,03-07-2023 14:40,thrillseeker1,Orlando,Positive,0.89
The product arrived damaged. Very disappointed.,Online Store,03-07-2023 17:25,buyer123,Chicago,Negative,0.76
The concert was absolutely breathtaking. Best performance ever!,Event Review,03-07-2023 20:15,musicfan456,Paris,Positive,0.95
I had a terrible experience with their customer support.,Online Chat,04-07-2023 08:32,user1234,Sydney,Negative,0.61
This movie is a masterpiece! I was blown away.,IMDb,04-07-2023 14:05,cinephile789,Los Angeles,Positive,0.93
The customer service at this store is top-notch.,Yelp Reviews,04-07-2023 16:35,shopper456,New York,Positive,0.82
I'm disappointed with the ending of this book. It fell flat.,Goodreads,04-07-2023 19:18,booklover123,London,Negative,0.68
The product I received was damaged. Unacceptable.,Online Store,04-07-2023 21:52,buyer789,San Francisco,Negative,0.75
Just had the worst flight experience. Delayed and rude staff.,Airline Review,05-07-2023 09:10,traveler456,Sydney,Negative,0.57
